file	utterances	with_markers	⌈	⌉	⌊	⌋	cross_pairs	timed_pairs	temporal_ok	quality
sgr175mu126	3216	20	0	11	0	9	0	0	0	fully_paired
sgr175su123	3033	1	0	1	0	0	0	0	0	mixed
sgr195su127	1846	1	0	0	0	1	0	0	0	mixed
sgr565su144	1512	6	0	6	0	0	0	0	0	mixed
sgr999su146	1726	8	0	5	0	3	0	0	0	fully_paired
car	366	259	146	53	156	69	144	1	1	mixed
halkojen	20	7	4	1	4	1	4	0	0	fully_paired
luontoilta	224	155	86	68	86	68	86	0	0	fully_paired
baukartell	189	92	52	20	52	20	52	5	5	fully_paired
eifersucht	173	108	57	3	57	3	57	13	9	fully_paired
kerl	78	23	12	0	12	0	12	0	0	open_only
craxi	176	57	30	25	30	25	30	0	0	fully_paired
01	667	160	78	78	79	80	77	27	27	fully_paired
02	1006	549	268	268	303	306	267	80	80	mixed
03	1133	532	251	248	275	275	250	57	55	mixed
04	845	552	268	262	297	298	267	68	68	mixed
05	508	193	91	91	92	92	91	39	38	fully_paired
06	1069	548	271	265	272	273	271	51	49	fully_paired
07	454	74	38	38	38	38	38	8	8	fully_paired
08	851	523	275	270	285	285	274	101	100	mixed
09	495	136	63	63	64	64	63	23	21	fully_paired
10	741	471	221	219	223	224	220	62	62	fully_paired
11	695	327	164	158	175	174	163	47	46	mixed
12	566	109	52	51	54	54	52	17	17	fully_paired
13	1851	1425	673	664	858	864	665	156	155	mixed
14	594	274	126	127	139	139	126	37	35	mixed
15	1337	877	376	366	434	436	373	124	124	mixed
16	1090	810	405	400	427	427	404	117	117	mixed
17	633	309	143	141	144	145	143	55	55	fully_paired
18	319	129	62	61	63	64	62	15	14	fully_paired
19	930	543	248	248	288	287	247	65	63	mixed
20	328	53	24	22	24	26	24	3	3	fully_paired
21	713	203	96	95	111	111	96	2	2	mixed
22	413	143	68	65	68	69	68	24	24	fully_paired
23	1149	844	397	389	502	505	393	62	62	mixed
24	679	211	97	96	98	99	97	42	41	fully_paired
25	310	4	2	1	2	2	2	0	0	fully_paired
26	327	84	38	37	41	41	38	11	11	mixed
27	437	40	19	19	20	20	19	0	0	fully_paired
28	1010	503	255	253	256	256	255	76	74	fully_paired
29	891	320	152	151	152	152	151	73	72	fully_paired
30	336	27	13	13	13	13	13	0	0	fully_paired
31	1160	742	355	344	389	389	352	118	115	mixed
32	1305	954	424	420	523	520	412	130	130	mixed
33	655	521	242	239	331	331	237	39	38	mixed
34	498	112	60	60	59	59	59	17	16	fully_paired
35	938	730	359	342	419	421	353	116	112	mixed
36	1281	835	410	399	467	472	407	134	132	mixed
37	764	246	127	127	134	134	126	28	27	mixed
38	359	75	35	35	37	37	35	15	15	fully_paired
39	789	440	213	206	253	253	211	54	54	mixed
40	246	8	4	4	4	4	4	2	2	fully_paired
41	551	329	149	146	151	152	149	31	31	fully_paired
42	558	185	89	87	98	98	87	23	18	mixed
43	896	401	188	186	192	192	188	68	67	mixed
44	696	240	119	119	119	120	119	32	31	fully_paired
45	653	156	79	78	79	79	79	34	34	fully_paired
46	424	170	85	85	90	90	85	38	38	mixed
47	679	324	155	153	155	155	155	78	78	fully_paired
48	912	520	264	261	297	299	264	70	70	mixed
49	982	663	323	308	393	397	319	84	84	mixed
50	753	398	192	189	218	221	191	46	46	mixed
51	1206	722	352	345	402	404	350	109	109	mixed
52	967	508	246	245	253	253	246	100	98	mixed
53	483	179	88	87	91	91	88	42	42	mixed
54	328	94	45	45	48	48	45	3	2	mixed
55	358	87	42	42	51	51	41	1	1	mixed
56	1142	556	270	268	280	280	270	99	98	mixed
57	683	105	50	51	53	54	50	6	6	mixed
58	720	220	107	106	109	109	107	36	35	fully_paired
59	1387	935	478	469	531	532	473	138	137	mixed
60	461	132	64	64	67	67	64	27	27	mixed
amy	3555	868	447	447	447	447	447	443	443	fully_paired
jason-accident	29	6	3	3	3	3	3	3	3	fully_paired
lynne-bus	34	8	4	4	4	4	4	4	4	fully_paired
lynne-hunter	27	3	1	1	2	2	1	1	1	fully_paired
lynne-poodle	47	6	3	3	3	3	3	3	3	fully_paired
lynne-tipsy	26	10	5	5	5	5	5	5	5	fully_paired
lynne-turkey	34	6	3	3	3	3	3	3	3	fully_paired
mary-class	342	22	11	11	11	11	11	11	11	fully_paired
mary-pizza	256	12	6	6	6	6	6	6	6	fully_paired
mary	1364	75	37	37	38	38	37	37	37	fully_paired
steve-basketball	65	8	4	4	4	4	4	4	4	fully_paired
future	53	23	14	0	14	0	14	0	0	open_only
identity	15	8	4	0	4	0	4	0	0	open_only
sequence	31	17	9	1	11	1	9	0	0	fully_paired
wooden	49	23	11	9	13	11	11	0	0	fully_paired
01	449	322	186	187	197	198	184	0	0	mixed
02	648	522	292	292	318	318	292	0	0	mixed
03	650	276	159	163	160	162	155	0	0	fully_paired
04	377	220	129	130	128	128	127	0	0	fully_paired
05	498	204	93	107	96	107	89	0	0	mixed
06	221	48	26	26	26	26	24	0	0	fully_paired
07	327	71	38	38	38	38	36	0	0	fully_paired
08	232	86	42	43	44	47	38	0	0	fully_paired
09	357	85	44	44	45	45	44	0	0	fully_paired
10	627	473	259	275	299	308	245	0	0	mixed
11	507	253	133	135	140	145	124	0	0	mixed
12	287	207	121	121	121	121	119	0	0	fully_paired
13	222	136	80	80	81	81	80	0	0	fully_paired
14	184	109	64	64	64	64	64	0	0	fully_paired
15	159	87	48	50	47	50	47	0	0	fully_paired
M001	385	208	111	111	108	108	105	0	0	mixed
M002	419	155	88	88	74	74	67	0	0	mixed
M003	507	258	139	139	138	138	133	0	0	fully_paired
